Siteid,trophic_sta,trophic_asyn,foodweb_sta,rich_Phytoplankton,rich_Zooplankton,shan_Phytoplankton,shan_Zooplankton,simp_Phytoplankton,simp_Zooplankton,TP,Temp,Popsta_Zooplankton,Popsasyn_Zooplankton,Popsta_Phytoplankton,Popsasyn_Phytoplankton,microcystis_biomass,total_biomass,prop_biomass
30005,1.138104543,1.388868529,1.580677583,10.4,14.13333333,1.42070419,1.40575929,0.656760849,0.678919342,0.048733335,19.13833343,0.878542369,1.453623779,0.563157963,1.697096165,4.448658477,86.0477253,0.05523552
31005,1.102328634,1.179776937,1.3005019,8.8125,13.75,1.448288287,0.934392261,0.650570983,0.419071757,0.198937505,19.34583322,0.707573253,1.572593233,0.416358205,2.499783238,0.666557576,251.6413745,0.031711926
45003,0.761233909,1.085395227,0.826239652,10.65,16.15,1.114146253,1.442622636,0.507346483,0.598151436,0.445849999,19.49741592,0.440221762,1.254911885,0.472501928,1.718075375,6349.647457,7653.431004,0.60382102
46007,1.733854868,1.418215787,2.458980346,13.4,16.9,1.252865498,1.986712199,0.528007001,0.81575636,0.092150001,13.91112572,1.078833246,1.8532166,0.666180282,2.46704388,134.8167789,1905.752898,0.096204325
49001,1.621680231,1.280382913,2.076371658,13.46666667,18.33333333,1.734962857,1.907445215,0.708671093,0.775074369,0.458600001,19.71329622,0.714901471,1.778378876,0.535332713,3.453362602,1385.147617,4252.484514,0.312544049
51004,1.872132487,1.315205627,2.46223918,14.35714286,19.14285714,1.28376433,2.165593771,0.523612302,0.829624719,0.044499999,19.69758958,1.107621479,1.82018589,0.965258835,1.868145238,4.663003306,732.2644542,0.008966528
53017,1.033188539,1.011469037,1.045038217,16.4,14.8,1.436526541,1.205353971,0.62540692,0.608430916,1.707400014,20.13749984,1.856938029,1.339384377,0.732016142,1.317986448,5440.813464,17297.23704,0.218318638
55002,1.556901293,1.099749475,1.71220138,13.73333333,18.06666667,1.571846173,2.071169222,0.668405531,0.824970955,0.260533334,19.26430131,0.959704334,2.243834189,0.475970912,3.002680847,843.3675053,1603.185794,0.404321208
Abiskojaure,7.271896325,1.044040217,7.592152214,25.77777778,13.44444444,0.592508038,0.009696464,0.181813097,0.002177988,0.003435556,7.731666667,0.614979242,2.439561921,0.917431913,8.252679346,0,1.912126238,0
Älgsjön,2.945083576,1.286820659,3.789794386,51.75,14.33333333,0.824246306,0.166458246,0.243273195,0.066515722,0.022203636,15.64636364,0.979381287,1.23093276,1.594059649,2.851376642,0.155324052,1.82192016,0.084615713
Allgjuttern,9.933009532,1.070684483,10.63511917,38.80769231,14.46153846,0.59752682,0.014634596,0.169421017,0.003255524,0.005166154,14.43923077,0.67871962,3.320309491,1.111337466,9.478235244,0.060651906,2.537725434,0.023234862
Brunnsjön,8.657031416,1.208990398,10.46626786,23.54545455,14.95454545,0.490679467,0.030113832,0.150354084,0.007358387,0.012039545,14.48136364,0.786586535,2.520017321,1.427529796,7.103815237,0.000270754,1.876648283,0.000152048
Bysjön,3.82102549,1.068057896,4.081076444,39.14285714,12.61904762,0.51877642,0.013894408,0.151378495,0.00321308,0.011049524,11.69,0.704460686,1.605163428,0.954117065,4.190916239,0.025047483,1.815592127,0.013472272
CR,1.159098776,1.527720929,1.77077946,16.45454545,15.63636364,1.805027324,1.397018095,0.72584988,0.64015935,0.012842593,15.08348485,0.941728169,1.629264887,0.518847653,1.599451889,3.75,446.455,0.01278227
Fiolen,7.075157558,1.375997145,9.735396603,44.36363636,16.45454545,0.688925027,0.053915469,0.196755281,0.014812262,0.011914545,14.22409091,0.567991832,2.650194846,0.968463313,9.610648959,0.192514908,2.558726797,0.075448149
Fräcksjön,6.199208837,1.364032174,8.455920308,48,16.38095238,0.772519551,0.056985037,0.22005552,0.016720529,0.0097025,14.3085,0.512185,1.60201995,1.27702229,8.480704919,0.069156081,2.790849656,0.024199614
Fyrsjön,8.725925511,1.029988499,8.98760292,40.15384615,14.23076923,0.960460805,0.02466988,0.288478896,0.006023391,0.005122308,9.342307692,0.736078923,2.303992563,1.069566081,8.746434651,0.050813279,2.429859438,0.019903869
Hagasjön,8.033596339,1.041024903,8.363173853,42.8,18.2,1.763815045,0.125758879,0.55152236,0.040302008,0.0083,11.912,1.346437657,2.360968475,1.266749199,6.770975395,0.031932797,2.521960413,0.013352116
Lake_Taihu,1.341781515,1.208945411,1.622140605,12.90909091,10,0.843827627,0.962792133,0.43639246,0.449940671,0.307736364,29.69909091,0.8821175,1.797963073,0.609549608,1.990380955,4.284592086,6.764526446,0.704103658
Långsjön,3.070451222,1.39688119,4.289055558,29.3,20.9,0.409429297,0.102866261,0.124633336,0.029679258,0.011316,11.597,0.704717831,2.492318006,0.867757483,4.235664995,0.004709662,1.392568703,0.003243256
Lillsjön,3.400503996,2.169438147,7.37718309,45.4,15.6,1.550798941,0.222332444,0.497611077,0.083388927,0.075064,12.866,0.745820232,1.556208382,1.312874599,3.291208394,0.817032857,2.136308788,0.398961831
ME,1.189688555,1.031645111,1.227336381,26.52,10.12,1.566660706,1.35726274,0.635774619,0.618035959,0.172306818,17.27290104,0.868303389,1.574680142,0.465657751,2.542588327,6508.07224,8995.359588,0.698877641
MO,1.491992746,1.067841468,1.593211724,28.63636364,11.18181818,1.812212671,1.618142281,0.745968027,0.717896561,0.198575397,18.38176683,0.571794585,1.341768115,0.682186659,2.255502331,7901.259239,9684.145295,0.79177608
Övre Skärsjön,7.462273914,1.13335432,8.457400377,27.9,14.43333333,0.405680762,0.024893939,0.118542181,0.006236123,0.006593333,13.219,0.710795492,2.345725445,1.102589747,8.124088382,0,1.961618884,0
Remmarsjön,8.454418274,1.195687935,10.10884593,37.56,15.88,0.594945224,0.041129447,0.172754733,0.010939556,0.00945,11.2348,0.662017426,2.151403431,1.192342555,9.767886309,0.041054023,2.496736209,0.016242798
Rotehogstjärnen,1.882798791,1.381962835,2.601957955,33.64,14.6,0.376584099,0.106271087,0.108318333,0.042023519,0.0131964,14.4236,0.613093759,1.291550891,1.171947459,3.500767532,0.002363967,1.48693004,0.001032023
SP,1.666829506,1.334235446,2.223943011,19.5,18.08333333,2.057403586,1.816764995,0.777067566,0.766604577,0.01865,14.08172515,0.851940565,1.812905849,0.60414075,2.89928961,19.94615385,424.9038462,0.044932003
Stora Envättern,8.622351078,1.114562989,9.610153394,45.73684211,14.05263158,0.845822462,0.045013893,0.244096148,0.012381779,0.007631579,14.84473684,0.750972074,1.599866004,1.285529763,9.037023544,0.077932147,2.867227351,0.026881149
Stora Skärsjön,10.36991725,1.129621546,11.71408195,61.71428571,20.14285714,2.188075593,0.089038712,0.639030316,0.024760219,0.012625,15.21071429,0.953504271,1.706650259,1.457620561,7.910347825,0.250277995,4.752158194,0.051593266
Västra Solsjön,5.236760876,1.145471708,5.998561426,40.58333333,14.5,0.582859327,0.022171115,0.165682168,0.005629147,0.003740417,11.7875,0.567501385,1.94922889,1.028571723,5.728165107,0.062466784,2.289452744,0.026932593
