Siteid,trophic_sta,trophic_asyn,foodweb_sta,rich_Phytoplankton,rich_Zooplankton,shan_Phytoplankton,shan_Zooplankton,simp_Phytoplankton,simp_Zooplankton,TP,Temp,Popsta_Zooplankton,Popsasyn_Zooplankton,Popsta_Phytoplankton,Popsasyn_Phytoplankton,pie_Phytoplankton,pie_Zooplankton,even_simp_Phytoplankton,even_simp_Zooplankton,microcystis_biomass,prop_biomass,zooplankton_biomass,phytoplankton_biomass,phy_zoo_ratio,program
30005,1.138104543,1.388868529,1.580677583,10.4,14.13333333,1.42070419,1.40575929,0.656760849,0.678919342,0.048733335,19.13833343,0.878542369,1.453623779,0.563157963,1.697096165,0.614078681,0.538849106,0.332464182,0.245281943,0,0,0.155558308,0.088708599,0.570259474,Danish
31005,1.102328634,1.179776937,1.3005019,8.8125,13.75,1.448288287,0.934392261,0.650570983,0.419071757,0.198937505,19.34583322,0.707573253,1.572593233,0.416358205,2.499783238,0.671107494,0.358106938,0.402181398,0.156810706,0,0,1.481969823,0.234238729,0.158059041,Danish
45003,0.761233909,1.085395227,0.826239652,10.65,16.15,1.114146253,1.442622636,0.507346483,0.598151436,0.445849999,19.49741592,0.440221762,1.254911885,0.472501928,1.718075375,0.455947582,0.521908521,0.267659077,0.20104686,0.838062271,0.084154736,1.641062302,9.95858716,6.068378481,Danish
46007,1.733854868,1.418215787,2.458980346,13.4,16.9,1.252865498,1.986712199,0.528007001,0.81575636,0.092150001,13.91112572,1.078833246,1.8532166,0.666180282,2.46704388,0.480954259,0.704823196,0.223002993,0.344316618,0.062153564,0.03295706,0.780919715,1.885895257,2.414966893,Danish
49001,1.621680231,1.280382913,2.076371658,13.46666667,18.33333333,1.734962857,1.907445215,0.708671093,0.775074369,0.458600001,19.71329622,0.714901471,1.778378876,0.535332713,3.453362602,0.666863336,0.660339013,0.319144509,0.276220826,0.760612707,0.173255429,1.956513503,4.390123365,2.243850276,Danish
51004,1.872132487,1.315205627,2.46223918,14.35714286,19.14285714,1.28376433,2.165593771,0.523612302,0.829624719,0.044499999,19.69758958,1.107621479,1.82018589,0.965258835,1.868145238,0.480950331,0.735344724,0.202844671,0.333382335,0.000247686,0.0003361,0.394311274,0.736941517,1.868933417,Danish
53017,1.033188539,1.011469037,1.045038217,16.4,14.8,1.436526541,1.205353971,0.62540692,0.608430916,1.707400014,20.13749984,1.856938029,1.339384377,0.732016142,1.317986448,0.517621326,0.450807343,0.18961617,0.183333507,0,0,1.942570038,16.01754885,8.245545098,Danish
55002,1.556901293,1.099749475,1.71220138,13.73333333,18.06666667,1.571846173,2.071169222,0.668405531,0.824970955,0.260533334,19.26430131,0.959704334,2.243834189,0.475970912,3.002680847,0.59932406,0.717339265,0.271656997,0.3556261,0.263542649,0.150119165,0.566323791,1.75555632,3.099916244,Danish
Abiskojaure,7.271896325,1.044040217,7.592152214,25.77777778,13.44444444,0.592508038,0.009696464,0.181813097,0.002177988,0.003435556,7.731666667,0.614979242,2.439561921,0.917431913,8.252679346,0.183377262,0.003682301,0.049367133,0.082316722,0,0,0.019653424,1.912126238,97.29226774,Swedish
Älgsjön,2.945083576,1.286820659,3.789794386,51.75,14.33333333,0.824246306,0.166458246,0.243273195,0.066515722,0.022203636,15.64636364,0.979381287,1.23093276,1.594059649,2.851376642,0.208900176,0.061198078,0.026037997,0.076776308,0.002023155,0.001110452,0.444521943,1.82192016,4.098605683,Swedish
Allgjuttern,9.933009532,1.070684483,10.63511917,38.80769231,14.46153846,0.59752682,0.014634596,0.169421017,0.003255524,0.005166154,14.43923077,0.67871962,3.320309491,1.111337466,9.478235244,0.163403709,0.005484432,0.03133333,0.070735752,0,0,0.042455027,2.537725434,59.77443998,Swedish
Brunnsjön,8.657031416,1.208990398,10.46626786,23.54545455,14.95454545,0.490679467,0.030113832,0.150354084,0.007358387,0.012039545,14.48136364,0.786586535,2.520017321,1.427529796,7.103815237,0.155485722,0.011102433,0.050583227,0.068568358,0,0,0.081548185,1.876648283,23.01275365,Swedish
Bysjön,3.82102549,1.068057896,4.081076444,39.14285714,12.61904762,0.51877642,0.013894408,0.151378495,0.00321308,0.011049524,11.69,0.704460686,1.605163428,0.954117065,4.190916239,0.141756774,0.005459863,0.030903486,0.081724622,0.000810845,0.000446601,0.033894708,1.815592127,53.56565124,Swedish
CR,1.159098776,1.527720929,1.77077946,16.45454545,15.63636364,1.805027324,1.397018095,0.72584988,0.64015935,0.012842593,15.08348485,0.941728169,1.629264887,0.518847653,1.599451889,0.660766765,0.508520057,0.292136857,0.197115596,0,0,0.652573423,0.402272727,0.616440562,EDI
Fiolen,7.075157558,1.375997145,9.735396603,44.36363636,16.45454545,0.688925027,0.053915469,0.196755281,0.014812262,0.011914545,14.22409091,0.567991832,2.650194846,0.968463313,9.610648959,0.182265279,0.019400311,0.028880148,0.064132256,0,0,0.165857704,2.558726797,15.42724111,Swedish
Fräcksjön,6.199208837,1.364032174,8.455920308,48,16.38095238,0.772519551,0.056985037,0.22005552,0.016720529,0.0097025,14.3085,0.512185,1.60201995,1.27702229,8.480704919,0.199779441,0.020426028,0.027100887,0.063219012,0.009022463,0.003232873,0.182047631,2.790849656,15.33032665,Swedish
Fyrsjön,8.725925511,1.029988499,8.98760292,40.15384615,14.23076923,0.960460805,0.02466988,0.288478896,0.006023391,0.005122308,9.342307692,0.736078923,2.303992563,1.069566081,8.746434651,0.260347149,0.009294452,0.035687667,0.071584412,0,0,0.039411077,2.429859438,61.65422627,Swedish
