"location_id","trophic_sta","foodweb_sta","trophic_asyn","rich_Phytoplankton","rich_Zooplankton","shan_Phytoplankton","shan_Zooplankton","simp_Phytoplankton","simp_Zooplankton","species_stability_Phytoplankton","species_stability_Zooplankton","species_asynchrony_Phytoplankton","species_asynchrony_Zooplankton","mean_DO","mean_Depth","mean_Secchi","mean_TN","mean_TP","mean_Temp","mean_pH","pie_Phytoplankton","pie_Zooplankton","even_simp_Phytoplankton","even_simp_Zooplankton","microcystis_biomass","prop_biomass","zooplankton_biomass","phytoplankton_biomass","phy_zoo_ratio"
"TH0",0.991162272,1.056234057,1.065651999,34.18181818,18.63636364,1.088467887,0.870616871,0.494389661,0.425866613,0.528822504,0.611050797,1.594218608,3.136124884,7.904273024,3.118181818,0.450454545,2.059304545,0.13765,18.97138636,8.230227273,0.313125352179476,0.299263061447734,0.064227937569043,0.0957045714307766,33.0681789216667,0.27762969851402,22.2107320778182,68.8178697209091,7.13119267052367
"TH1",1.665670355,1.869602371,1.122432398,32.63636364,18.72727273,1.099611486,0.838178609,0.50779117,0.40900261,0.735739813,0.82172265,1.952971453,4.010376671,8.801566554,2.305909091,0.461363636,1.979004545,0.134863636,18.63402273,8.322727273,0.320202336667449,0.286455917661602,0.0687663889628924,0.0910638377754336,36.427814501,0.35960236807156,18.783103206,69.2375250101818,7.15930825075556
"TH10",0.666678222,0.71786312,1.076776017,32.09090909,16.45454545,0.999308011,0.753800819,0.476242346,0.389304683,0.48582689,0.850980717,1.250902189,1.687634147,7.236122702,2.245,0.297954545,3.666884091,0.220422727,18.86725,8.21,0.289128323486423,0.269389757713114,0.0633792822949897,0.100375817408898,50.8964207603333,0.297296498680973,15.9944711838182,100.441812847091,19.3539590099176
"TH11",1.032101872,1.109537168,1.075026795,30,15.18181818,0.941805074,0.740864415,0.447250036,0.382616992,0.516199931,0.830359551,1.742275704,2.119320693,8.587433548,2.134545455,0.281818182,1.947515909,0.105102273,18.77968182,8.263863636,0.281784507643242,0.274234139266123,0.0670642602121267,0.108892436025591,5.86384083266667,0.144236397890559,6.989973741,19.5838573790909,2.73767035101884
"TH12",1.713489954,2.12901712,1.242503415,31.81818182,16.09090909,0.862515097,0.721531465,0.410740569,0.376219916,0.541177096,0.903593641,2.688516674,2.806273902,8.670429249,1.830227273,0.398863636,1.287838636,0.063847727,18.91047727,8.265681818,0.252892799188413,0.260450123357584,0.0567341800037278,0.100607903929692,1.22458683616667,0.0654177795111187,6.10913507072727,11.1486733202727,2.25188602824347
"TH13",1.368909092,1.447701508,1.057558546,31.18181818,15.36363636,1.046145691,0.758085939,0.490001619,0.389266379,0.67269452,0.792187841,1.873249343,2.518076604,8.675894758,2.306818182,0.330681818,1.953347727,0.100622727,18.28534091,8.340227273,0.306139691465747,0.279626810334149,0.0664631595862928,0.109390402482907,26.9079130114167,0.30745292926918,11.8105008614545,62.0907347080909,10.1097159347926
"TH14",1.287232801,1.375896459,1.068879271,29.90909091,17,1.024379649,0.778398645,0.48034123,0.392819682,0.597135241,0.789720094,1.934711698,2.547830952,8.665740059,2.247727273,0.360909091,1.873025,0.092590909,18.02225,8.3375,0.304277929214573,0.276132205663663,0.0694589013948916,0.0990635920750601,18.3531644184167,0.235406805665877,13.1454617255455,54.7964097091818,9.21083124622953
"TH15",1.22653669,1.426967954,1.163412368,33.09090909,16.27272727,1.050166864,0.783360888,0.472034342,0.400749795,0.594828422,0.613132935,1.947516576,2.331881911,8.77983021,1.825757576,0.433863636,1.250284091,0.098620455,19.51549242,8.248409091,0.303547332415022,0.281095951338782,0.0619803575213469,0.103497552709079,0.893828051083333,0.0521452569206747,9.35012867254545,22.6074564857273,2.93986264379171
"TH16",0.934427641,1.074505312,1.149907457,34.72727273,17.18181818,1.152202036,0.865839715,0.50509105,0.423948682,0.578787582,0.678785931,1.510729235,1.656547285,7.593586406,2.149621212,0.392272727,4.071418182,0.200981818,19.33275,8.238863636,0.32638815154364,0.305291919417322,0.0638812593413196,0.103680049090142,17.4743126051667,0.173630298688668,22.7532088778182,72.6464941213636,11.1502031582966
"TH17",1.383772105,1.592198964,1.150622244,26.09090909,16.54545455,0.938942533,0.870160305,0.463327578,0.424285397,0.686992051,0.912289118,1.696277727,2.225307317,8.341428719,2.362272727,0.561818182,3.632965909,0.186363636,18.89759091,8.310454545,0.295322242628332,0.310512149673826,0.0813323217580058,0.106283995711515,57.0360281481667,0.378149003496235,21.3791606860909,71.7944727232727,5.62309342157229
